Well,Cycle,FAM
G4,4,-3617.225098
G5,4,-5040.467773
G6,4,-4725.31543
G7,4,
G8,4,
G9,4,
G10,4,
G11,4,
G12,4,
H1,4,-2365.588867
H2,4,-4634.829102
H3,4,-4152.796875
H4,4,-4739.402832
H5,4,-4505.436523
H6,4,-4922.334473
H7,4,
H8,4,
H9,4,
H10,4,
H11,4,
H12,4,
A1,5,19093.54297
A2,5,14682.93164
A3,5,19357.55859
A4,5,-4574.702637
A5,5,-4502.324219
A6,5,-4320.275391
A7,5,-3760.017578
A8,5,-4466.856934
A9,5,
A10,5,
A11,5,
A12,5,
B1,5,19196.86328
B2,5,19982.74609
B3,5,18356.61914
B4,5,-4240.630859
B5,5,-4161.12793
B6,5,-4449.251953
B7,5,-4656.996094
B8,5,-4832.99707
B9,5,
B10,5,
B11,5,
B12,5,
C1,5,18398.22461
C2,5,19115.92773
C3,5,15633.02832
C4,5,-4078.756348
C5,5,-3640.944092
C6,5,-4766.713379
C7,5,-4652.677246
C8,5,-4614.537109
C9,5,
C10,5,
C11,5,
C12,5,
D1,5,17189.18555
D2,5,20436.35938
D3,5,15978.0918
D4,5,-4444.744629
D5,5,-3804.29541
D6,5,-4545.103027
D7,5,-4532.734375
D8,5,
D9,5,
D10,5,
D11,5,
D12,5,
E1,5,19679.45117
E2,5,15823.16016
E3,5,18253.0293
E4,5,-4369.087402
E5,5,-4476.71582
E6,5,-4455.087891
E7,5,-4380.134766
E8,5,
E9,5,
E10,5,
E11,5,
E12,5,
F1,5,-3981.662109
F2,5,-3629.137939
F3,5,-4069.567627
F4,5,-4463.914551
F5,5,-4144.665527
F6,5,-4368.321289
F7,5,-4426.343262
F8,5,
F9,5,
F10,5,
F11,5,
F12,5,
G1,5,-4296.138672
G2,5,-4640.500977
G3,5,-4718.26709
G4,5,-3582.273926
G5,5,-5032.189453
G6,5,-4750.205078
G7,5,
G8,5,
G9,5,
G10,5,
G11,5,
G12,5,
H1,5,-2351.378418
H2,5,-4619.037109
H3,5,-4142.930664
H4,5,-4736.57373
H5,5,-4498.383789
H6,5,-4905.857422
H7,5,
H8,5,
H9,5,
H10,5,
H11,5,
H12,5,
A1,6,19531.22461
A2,6,16025.13281
A3,6,19932.25
A4,6,-4567.780273
A5,6,-4505.475586
A6,6,-4316.616699
A7,6,-3743.649414
A8,6,-4479.418945
A9,6,
A10,6,
A11,6,
A12,6,
B1,6,19893.66797
B2,6,20612.08008
B3,6,18941.05273
B4,6,-4239.462891
B5,6,-4162.518066
B6,6,-4430.90332
B7,6,-4625.395996
B8,6,-4803.087891
B9,6,
B10,6,
B11,6,
B12,6,
C1,6,19167.44922
C2,6,19618.66016
C3,6,16361.6416
C4,6,-4076.820313
C5,6,-3544.084229
C6,6,-4761.213867
C7,6,-4686.168945
C8,6,-4581.868164
C9,6,
C10,6,
C11,6,
C12,6,
D1,6,17557.36133
D2,6,20964.52734
D3,6,17040.5625
D4,6,-4445.520508
D5,6,-3767.012939
D6,6,-4541.797852
D7,6,-4538.680664
D8,6,
D9,6,
D10,6,
D11,6,
D12,6,
E1,6,20127.32617
E2,6,16743.00391
E3,6,19416.82031
E4,6,-4368.959961
E5,6,-4462.364258
E6,6,-4429.905762
E7,6,-4368.183105
E8,6,
E9,6,
E10,6,
E11,6,
E12,6,
F1,6,-3971.918213
F2,6,-3608.574951
F3,6,-4041.185791
F4,6,-4458.754883
F5,6,-4140.805664
F6,6,-4346.146484
F7,6,-4384.020996
F8,6,
F9,6,
F10,6,
F11,6,
F12,6,
G1,6,-4267.305176
G2,6,-4647.87207
G3,6,-4695.705078
G4,6,-3580.037842
G5,6,-5001.880859
G6,6,-4735.448242
G7,6,
G8,6,
G9,6,
G10,6,
G11,6,
G12,6,
H1,6,-2340.674072
H2,6,-4618.272461
H3,6,-4123.27002
H4,6,-4751.139648
H5,6,-4478.330078
H6,6,-4922.041992
H7,6,
H8,6,
H9,6,
H10,6,
H11,6,
H12,6,
A1,7,19897.3418
A2,7,16916.65039
A3,7,20333.01367
A4,7,-4566.353516
A5,7,-4494.703125
A6,7,-4326.076172
A7,7,-3743.030273
A8,7,-4492.199707
A9,7,
A10,7,
A11,7,
A12,7,
B1,7,20362.375
B2,7,20849.67383
B3,7,19416.41797
B4,7,-4225.656738
B5,7,-4158.385254
B6,7,-4425.000488
B7,7,-4605.739258
B8,7,-4783.859375
B9,7,
B10,7,
B11,7,
B12,7,
C1,7,19632.95508
C2,7,20088.10938
C3,7,16931.76953
C4,7,-4089.90332
C5,7,-3476.436035
C6,7,-4736.90625
C7,7,-4681.934082
C8,7,-4577.176758
C9,7,
C10,7,
C11,7,
C12,7,
D1,7,17901.13477
D2,7,21519.08594
D3,7,17832.8125
D4,7,-4434.013672
D5,7,-3797.322266
D6,7,-4527.898438
D7,7,-4536.090332
D8,7,
D9,7,
