Well,Cycle,Target_Name,Rn,?Rn,
A4,108,OP4,-17.83844376,2.358645678,
A4,109,OP4,-18.09388161,2.223446369,
A4,110,OP4,-17.80589867,2.631667852,
A4,111,OP4,-18.17988014,2.377925158,
A4,112,OP4,-18.18340302,2.494640827,
A4,113,OP4,-18.37121773,2.427064657,
A4,114,OP4,-18.64148903,2.277031898,
A4,115,OP4,-18.64496994,2.393789768,
A4,116,OP4,-18.5763588,2.582639456,
A4,117,OP4,-18.37028122,2.908955574,
A4,118,OP4,-18.75287247,2.646603107,
A4,119,OP4,-18.81347847,2.706235647,
A4,120,OP4,-18.77178955,2.868163109,
A5,1,OP5,-10.83909035,-0.121075086,
A5,2,OP5,-10.88336468,-0.168534488,
A5,3,OP5,-10.6735363,0.038108826,
A5,4,OP5,-10.72674465,-0.018284593,
A5,5,OP5,-10.77039242,-0.065117426,
A5,6,OP5,-10.66702843,0.035061497,
A5,7,OP5,-10.65144062,0.047464233,
A5,8,OP5,-10.79418373,-0.098463945,
A5,9,OP5,-10.6097126,0.082822122,
A5,10,OP5,-10.71094036,-0.02159071,
A5,11,OP5,-10.81843376,-0.132269174,
A5,12,OP5,-10.85085392,-0.167874411,
A5,13,OP5,-10.93287659,-0.253082126,
A5,14,OP5,-10.9116478,-0.235038415,
A5,15,OP5,-10.99231625,-0.318891943,
A5,16,OP5,-11.07146072,-0.401221484,
A5,17,OP5,-11.20770168,-0.540647507,
A5,18,OP5,-11.23836422,-0.574495137,
A5,19,OP5,-11.23560524,-0.574921191,
A5,20,OP5,-11.44817066,-0.790671706,
A5,21,OP5,-11.37908745,-0.724773526,
A5,22,OP5,-11.53621674,-0.885087907,
A5,23,OP5,-11.49418449,-0.846240699,
A5,24,OP5,-11.59120083,-0.946442127,
A5,25,OP5,-11.66446304,-1.022889376,
A5,26,OP5,-11.63731766,-0.998929083,
A5,27,OP5,-11.74177837,-1.106574893,
A5,28,OP5,-11.79502869,-1.16301024,
A5,29,OP5,-11.95888138,-1.330047965,
A5,30,OP5,-12.0775671,-1.45191884,
A5,31,OP5,-12.06434441,-1.44188118,
A5,32,OP5,-12.27563381,-1.656355619,
A5,33,OP5,-12.19845009,-1.582357049,
A5,34,OP5,-12.36614323,-1.753235221,
A5,35,OP5,-12.46547127,-1.855748296,
A5,36,OP5,-12.46754456,-1.861006618,
A5,37,OP5,-12.46121597,-1.857863188,
A5,38,OP5,-12.54747391,-1.947306156,
A5,39,OP5,-12.61990643,-2.022923708,
A5,40,OP5,-12.61320782,-2.019410133,
A5,41,OP5,-12.66482258,-2.074209929,
A5,42,OP5,-12.77350807,-2.186080694,
A5,43,OP5,-12.93015099,-2.345908642,
A5,44,OP5,-12.84281731,-2.261759996,
A5,45,OP5,-12.9277668,-2.349894524,
A5,46,OP5,-13.07169342,-2.497006178,
A5,47,OP5,-13.09699345,-2.525491238,
A5,48,OP5,-13.03938389,-2.471066713,
A5,49,OP5,-13.21082401,-2.64569211,
A5,50,OP5,-13.38518333,-2.823236465,
A5,51,OP5,-13.34407711,-2.785315275,
A5,52,OP5,-13.40612221,-2.850545406,
A5,53,OP5,-13.53425217,-2.981860399,
A5,54,OP5,-13.71293068,-3.163723946,
A5,55,OP5,-13.79800701,-3.251985312,
A5,56,OP5,-13.80879021,-3.265953779,
A5,57,OP5,-13.71664715,-3.176995754,
A5,58,OP5,-13.88854027,-3.352073908,
A5,59,OP5,-13.96530247,-3.432021141,
A5,60,OP5,-14.05637741,-3.526281118,
A5,61,OP5,-13.98346901,-3.456557751,
A5,62,OP5,-14.06163979,-3.537913561,
A5,63,OP5,-14.30137444,-3.780833483,
A5,64,OP5,-14.15480518,-3.637449265,
A5,65,OP5,-14.36568451,-3.851513624,
A5,66,OP5,-14.4148035,-3.903817654,
A5,67,OP5,-14.62404156,-4.116240978,
A5,68,OP5,-14.48570728,-3.981091499,
A5,69,OP5,-14.57652092,-4.075090408,
A5,70,OP5,-14.66573048,-4.16748476,
A5,71,OP5,-14.80649471,-4.311434269,
A5,72,OP5,-14.810462,-4.318586349,
A5,73,OP5,-15.07203865,-4.583348274,
A5,74,OP5,-14.85449982,-4.368994713,
A5,75,OP5,-15.21217918,-4.729858875,
A5,76,OP5,-15.37371063,-4.894575596,
A5,77,OP5,-15.21402073,-4.738070488,
A5,78,OP5,-15.41499519,-4.942230225,
A5,79,OP5,-15.44456291,-4.974982738,
A5,80,OP5,-15.60491276,-5.138517857,
A5,81,OP5,-15.63963413,-5.176424503,
A5,82,OP5,-15.77527332,-5.315248489,
A5,83,OP5,-15.87198353,-5.415143967,
A5,84,OP5,-15.89256763,-5.438912868,
A5,85,OP5,-16.16728783,-5.716818333,
A5,86,OP5,-16.08852577,-5.641241074,
A5,87,OP5,-16.2932415,-5.849142075,
A5,88,OP5,-16.26480293,-5.823888779,
A5,89,OP5,-16.45379257,-6.016063213,
A5,90,OP5,-16.67180824,-6.237264156,
A5,91,OP5,-16.65894127,-6.227581978,
A5,92,OP5,-16.53447342,-6.1062994,
A5,93,OP5,-16.95062447,-6.525635242,
A5,94,OP5,-17.03137398,-6.609570026,
A5,95,OP5,-16.97265434,-6.554035664,
A5,96,OP5,-17.12117958,-6.705745697,
A5,97,OP5,-17.17219162,-6.759943008,
A5,98,OP5,-17.26151085,-6.852447033,
A5,99,OP5,-17.05013657,-6.644258022,
A5,100,OP5,-17.43170357,-7.029009819,
A5,101,OP5,-17.40376854,-7.004260063,
A5,102,OP5,-17.55570602,-7.15938282,
A5,103,OP5,-17.71521187,-7.32207346,
A5,104,OP5,-17.44402885,-7.054075718,
